0 0  2
0 0.251327  1.77325
0 0.502655  1.97033
0 0.753982  3.624245
0 1.00531  7.83263
0 1.25664  14.0757
0 1.50796  18.1712
0 1.75929  14.0224
0 2.01062  3.0862461
0 2.26195  0.30238
0 2.51327  12.32355
0 2.7646  14.188
0 3.01593  -0.91495
0 3.26726  6.81971
0 3.51858  12.91544
0 3.76991  -3.29747
0 4.02124  12.98987
0 4.27257  -0.73341
0 4.52389  8.23603
0 4.77522  0.22529
0 5.02655  7.93996
0 5.27788  -3.83765
0 5.5292  10.96813
0 5.78053  -6.6554
0 6.03186  4.9145
0 6.28319  5.39367
0.251327 0  1.74476
0.251327 0.251327  1.51811
0.251327 0.502655  1.7155
0.251327 0.753982  3.369915
0.251327 1.00531  7.579
0.251327 1.25664  13.823
0.251327 1.50796  17.9196
0.251327 1.75929  13.7722
0.251327 2.01062  2.837468
0.251327 2.26195  0.05531
0.251327 2.51327  12.07838
0.251327 2.7646  13.9449
0.251327 3.01593  -1.15572
0.251327 3.26726  6.58142
0.251327 3.51858  12.67982
0.251327 3.76991  -3.53023
0.251327 4.02124  12.76015
0.251327 4.27257  -0.95991
0.251327 4.52389  8.01294
0.251327 4.77522  0.0057800000000001
0.251327 5.02655  7.72421
0.251327 5.27788  -4.04947
0.251327 5.5292  10.7604
0.251327 5.78053  -6.85887
0.251327 6.03186  4.71545
0.251327 6.28319  5.19919
0.502655 0  1.48182
0.502655 0.251327  1.25528
0.502655 0.502655  1.45299
0.502655 0.753982  3.107951
0.502655 1.00531  7.3178
0.502655 1.25664  13.5627
0.502655 1.50796  17.6606
0.502655 1.75929  13.5145
0.502655 2.01062  2.581429
0.502655 2.26195  -0.19891
0.502655 2.51327  11.82619
0.502655 2.7646  13.695
0.502655 3.01593  -1.40323
0.502655 3.26726  6.33656
0.502655 3.51858  12.43781
0.502655 3.76991  -3.7692
0.502655 4.02124  12.52443
0.502655 4.27257  -1.1922
0.502655 4.52389  7.78427
0.502655 4.77522  -0.21908
0.502655 5.02655  7.50334
0.502655 5.27788  -4.26616
0.502655 5.5292  10.54806
